Fecha,DI-001 NIVEL,PV Nivel FT310,FDBK Nivel FT310,OP Nivel FT310,PV Nivel FT311,FDBK Nivel FT311,OP Nivel FT311,PV Nivel FT312,FDBK Nivel FT312,OP Nivel FT312,PV Nivel FT313,FDBK Nivel FT313,OP Nivel FT313,PV Nivel FT314,FDBK Nivel FT314,OP Nivel FT314,PV Nivel FT315,FDBK Nivel FT315,OP Nivel FT315,PV Nivel FT316,FDBK Nivel FT316,OP Nivel FT316,PV Nivel FT317,FDBK Nivel FT317,OP Nivel FT317,PV Aire FT310,PV Aire FT311,PV Aire FT312,PV Aire FT313,PV Aire FT314,PV Aire FT315,PV Aire FT316,PV Aire FT317
2024-04-04T16:43:35.000Z,93.571937561,21.3792762756,64.5285415649,65.0,9.2183847427,67.5354919434,68.3235855103,2.6272392273,58.6658554077,58.8813591003,9.359120369,90.2586517334,90.5112304688,8.1665658951,45.9445991516,48.1145858765,9.0468273163,89.4369812012,90.329208374,9.4720773697,62.4453811646,62.5406608582,8.3245897293,62.4403114319,62.2700500488,59.5804443359,200.2373809814,259.7510986328,89.8678588867,70.2141342163,70.1826705933,70.0246353149,59.9794502258
2024-04-04T16:43:40.000Z,93.524772644,21.3105564117,64.5306015015,65.0,9.0853910446,67.8424911499,68.5741958618,2.5025289059,58.9044418335,58.7930831909,9.0370416641,90.4601745605,90.4563140869,7.7751646042,46.4329338074,48.5036277771,8.552148819,89.5869979858,90.2091903687,9.4936313629,62.4029045105,63.0376358032,8.647819519,62.1826591492,62.2747955322,59.5725326538,200.2067718506,259.7016296387,89.8749694824,70.2086639404,70.172744751,70.032585144,59.9820480347
2024-04-04T16:43:45.000Z,93.6014328003,20.9541187286,64.5412902832,65.0,8.9523963928,68.1494903564,68.7349319458,2.377818346,59.1430244446,58.5599212646,8.7149629593,90.6616973877,90.1027832031,7.3837628365,46.9212684631,48.3371887207,8.0574703217,89.7370147705,90.9263458252,9.5151853561,62.3604316711,63.5249328613,8.9710483551,61.9250030518,62.6192359924,59.5063400269,200.1761474609,259.652130127,89.8820724487,70.2031860352,70.1628189087,70.0405273438,59.9846420288
2024-04-04T16:43:50.000Z,93.6780853271,20.5976829529,64.5519790649,65.0,8.8194026947,68.349861145,68.8338851929,2.3682355881,59.0909385681,58.2271499634,8.6623220444,90.7518386841,89.5439682007,7.2021775246,47.0768318176,47.7888641357,7.5627923012,90.1576766968,92.2190475464,9.1922149658,62.6074333191,64.0055770874,8.9906921387,62.0245323181,63.1972045898,59.4401435852,200.1455383301,259.6429748535,89.8891830444,70.1977081299,70.1528930664,70.0484771729,59.9872398376
2024-04-04T16:43:55.000Z,93.7752685547,20.203956604,64.558555603,65.0,8.6864080429,68.383026123,68.9328384399,2.5391800404,58.583065033,57.8943786621,9.0321779251,90.6673278809,88.9851455688,7.3495988846,46.7105789185,47.2405395508,7.0681142807,91.0027236938,93.511756897,8.3290081024,63.3083610535,64.4862213135,8.5342912674,62.6841392517,63.775177002,59.4173583984,200.1149139404,259.6970214844,89.8962936401,70.192237854,70.1429595947,70.056427002,59.9898376465
2024-04-04T16:44:00.000Z,93.9585800171,19.6537036896,64.5478668213,65.0,8.5534143448,68.4161911011,68.9906387329,2.7101244926,58.0751876831,57.7307891846,9.4020338058,90.5828094482,89.0844268799,7.4970202446,46.3443260193,47.0951118469,6.5734357834,91.8477706909,93.7069625854,7.4658017159,64.0092849731,64.7334976196,8.0778913498,63.3437461853,63.9579467773,59.5767784119,200.0843048096,259.7510986328,89.9034042358,70.1867599487,70.1330337524,70.0643768311,59.9924354553
2024-04-04T16:44:05.000Z,94.1418838501,19.1034526825,64.5371780396,65.0,8.4617147446,68.4493637085,69.0200958252,2.7820675373,58.0848274231,57.6836967468,9.6703500748,90.4117736816,89.6368865967,7.6444416046,46.2068901062,47.2271232605,6.2100863457,92.2560882568,93.1464080811,6.8924627304,64.4375762939,64.8200759888,7.7076444626,63.7538490295,63.8685760498,59.7361984253,199.9084320068,259.5928955078,89.8442001343,70.1396560669,70.0764541626,70.0069122314,59.9394836426
2024-04-04T16:44:10.000Z,94.2759246826,18.5311927795,64.5305938721,65.0,8.4348773956,68.4825286865,69.0495605469,2.6985087395000003,58.9073219299,57.6366081238,9.7791757584,90.1048278809,90.1893463135,7.7918629646,46.4288635254,47.3591346741,6.0530157089,91.9784164429,92.5858535767,6.7744207382,64.4376449585,64.9066543579,7.4727196693,63.7720603943,63.7792053223,59.8968353271,199.50440979,259.1013793945,89.6808547974,70.0271453857,69.9466094971,69.8467178345,59.799282074
2024-04-04T16:44:15.000Z,94.2025985718,17.8663139343,64.5412826538,65.0,8.4080400467,68.5156936646,69.1657104492,2.6149497031999998,59.7298164368,58.2904472351,9.888001442,89.7978897095,90.2849884033,7.9392843246,46.6508331299,47.3299255371,5.8959445953,91.7007522583,92.7001266479,6.6563782692,64.4377059937,64.8368225098,7.2377948761,63.790271759,63.6075172424,60.0625801086,199.100402832,258.6098327637,89.5175094604,69.914642334,69.8167572021,69.6865310669,59.6590843201
2024-04-04T16:44:20.000Z,94.1292724609,17.2014369965,64.5519714355,65.0,8.3367519379,68.6875,69.3416519165,2.5313909054,60.152130127,59.4277610779,9.9968271255,89.6019744873,90.0655441284,8.0200843811,46.7434196472,47.1895141602,5.7388734818,91.9549636841,93.2798614502,6.7045288086,64.4377670288,64.6591110229,7.1552963257,63.7574081421,63.3790435791,60.2283248901,199.0309448242,258.4955749512,89.4808044434,69.9001464844,69.8012313843,69.5957717896,59.636428833
